"mgCO2.7"	"mgCO2.14"	"difference"
"WiW21"	0.2875	0.37	-0.0825
"WiW22"	0.55	0.585	-0.0349999999999999
"WiW23"	0.315	0.3775	-0.0625
"WiW24"	0.355	0.32	0.035
"WiW25"	0.28	0.3	-0.02
"WiW26"	0.3375	0.3775	-0.04
"WiW27"	0.48	0.58	-0.1
"WiW28"	0.38	0.4975	-0.1175
"WiW29"	0.4925	0.575	-0.0825
"WiW30"	0.3	0.2775	0.0225
"WiW31"	0.37	0.395	-0.025
"WiW32"	0.265	0.26	0.005
"WiW33"	0.27	0.3175	-0.0475
"WiW34"	0.2725	0.3475	-0.075
"WiW35"	0.3175	0.4125	-0.095
"WiW36"	0.3525	0.4825	-0.13
"WiW37"	0.3975	0.49	-0.0925
"WiW38"	0.3025	0.445	-0.1425
"WiW39"	0.35	0.41	-0.0599999999999999
"WiW40"	0.255	0.3	-0.045
"WiW41"	0.2475	0.3075	-0.06
"WiW42"	0.34	0.415	-0.075
"WiW43"	0.3425	0.3925	-0.05
"WiW44"	0.28	0.355	-0.075
"WiW45"	0.35	0.47	-0.12
"WiW46"	0.3225	0.425	-0.1025
"WiW47"	0.33	0.4025	-0.0725
"WiW48"	0.3225	0.31	0.0125
"WiW49"	0.22	0.2375	-0.0175
"WiW50"	0.2875	0.395	-0.1075
"WiW51"	0.33	0.41	-0.0800000000000001
"WiW52"	0.31	0.3925	-0.0825
"WiW53"	0.23	0.2675	-0.0375
"WiW54"	0.3475	0.395	-0.0475
"WiW55"	0.3475	0.3525	-0.00500000000000006
"WiW56"	0.2525	0.25	0.0025
"WiW57"	0.2625	0.325	-0.0625
"WP01"	0.245	0.2925	-0.0475
"WP02"	0.2275	0.3175	-0.09
"WP03"	0.41	0.4	0.00999999999999995
"WP04"	0.2725	0.38	-0.1075
"WP05"	0.305	0.4225	-0.1175
"WP06"	0.2975	0.405	-0.1075
"WP07"	0.28	0.375	-0.095
"WP08"	0.1475	0.1575	-0.01
"WP09"	0.195	0.3025	-0.1075
"WP10"	0.345	0.485	-0.14
"WP11"	0.3625	0.44	-0.0775
"WP12"	0.1875	0.2075	-0.02
"WP13"	0.1925	0.21	-0.0175
"WP14"	0.26	0.4475	-0.1875
